"Código do Cliente"	"Nome do Cliente"	"Logo do Cliente"	"Verbete do Cliente"	"Código da Categoria do Cliente"
"1229"	"Daily Star"	"http://logo-load.com/uploads/posts/2016-08/medium/daily-star-logo.png"	"https://pt.wikipedia.org/wiki/Daily_Star_(DC_Comics)"	"04"
"1424"	"NightMare Enterprises"	"https://vignette.wikia.nocookie.net/villains/images/d/d1/Nightmare_Enterprises_Logo.png"	"https://pt.wikipedia.org/wiki/NightMare_Enterprises_(Kirby)"	"02"
"1682"	"Mistério S/A"	"https://vignette.wikia.nocookie.net/logopedia/images/9/9b/ScoobyDooMysteryIncorporated-174681.png"	"https://pt.wikipedia.org/wiki/Scooby-Doo!_Mystery_Incorporated"	"01"
"2046"	"Contoso"	"https://vignette.wikia.nocookie.net/mobius-paradox/images/6/68/Contoso_logo.jpg"	"https://en.wikipedia.org/wiki/Contoso"	"01"
"2341"	"Stark Industries"	"https://thriftyzone-thriftysigns.netdna-ssl.com/wp-content/uploads/2018/05/Stark-Industries-Iron-Man.jpg"	"https://pt.wikipedia.org/wiki/Stark_Industries"	"04"
"3081"	"WarioWare, Inc."	"https://vignette.wikia.nocookie.net/fantendo/images/8/8d/WarioWare_logo.png"	"https://pt.wikipedia.org/wiki/WarioWare,_Inc.:_Mega_Microgames!"	"04"
"3589"	"Omni Consumer Products"	"https://vignette.wikia.nocookie.net/robocop/images/2/2e/Ocp.jpg/revision/latest?cb=20100730163941"	"https://pt.wikipedia.org/wiki/Omni_Consumer_Products"	"01"
"3794"	"Cyberdyne Systems"	"http://www.blackcountrytshirts.com/wp-content/uploads/2015/11/CYBERDYNE-SYSTEMS.png"	"https://pt.wikipedia.org/wiki/Cyberdyne_Systems"	"01"
"4040"	"Planet Express"	"https://img00.deviantart.net/996e/i/2011/061/7/7/planet_express_insignia_by_viperaviator-d3arnp6.png"	"https://pt.wikipedia.org/wiki/Planet_Express"	"04"
"4642"	"Damage Control"	"https://indierevolver.files.wordpress.com/2015/10/damage-social_11.jpg"	"https://pt.wikipedia.org/wiki/Controle_de_Danos"	"03"
"4654"	"Weyland-Yutani"	"https://ih1.redbubble.net/image.414946803.9585/flat,800x800,075,f.jpg"	"https://pt.wikipedia.org/wiki/Weyland-Yutani"	"02"
"4964"	"Oceanic Airlines"	"https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Oceanic.svg/915px-Oceanic.svg.png"	"https://pt.wikipedia.org/wiki/Oceanic_Airlines"	"02"
"4980"	"InGen"	"https://upload.wikimedia.org/wikipedia/commons/0/00/Ingen.jpg"	"https://pt.wikipedia.org/wiki/InGen"	"03"
"5323"	"Hanso Foundation"	"https://vignette.wikia.nocookie.net/lostpedia/images/0/08/Hanso_Logo_2.png"	"https://pt.wikipedia.org/wiki/Hanso_Foundation"	"03"
"5604"	"Nelson and Murdock Attorneys at Law"	"https://d3qdvvkm3r2z1i.cloudfront.net/media/catalog/product/cache/1/image/1800x/6b9ffbf72458f4fd2d3cb995d92e8889/n/e/nelsonmurdock_newthumb.png"	"https://en.wikipedia.org/w/index.php?title=Nelson_and_Murdock&redirect=no"	"02"
"5835"	"Queen Industries"	"https://vignette.wikia.nocookie.net/smallville/images/e/ed/Queen_Industries_%28Smallville%29.jpg"	"https://pt.wikipedia.org/wiki/Queen_Industries"	"01"
"5956"	"Umbrella Corporation"	"https://vignette.wikia.nocookie.net/monster/images/9/93/Umbrellacorpt1.jpg"	"https://pt.wikipedia.org/wiki/Umbrella_Corporation"	"04"
"6162"	"Planeta Diário"	"http://2.bp.blogspot.com/-N-3-UTXbPiM/VRbqOleFaaI/AAAAAAAADW0/SL208Y7pVb8/s1600/Daily_Planet_fc2c9_2"	"https://pt.wikipedia.org/wiki/Planeta_Di%C3%A1rio"	"04"
"6719"	"LexCorp"	"https://botw-pd.s3.amazonaws.com/styles/logo-thumbnail/s3/102015/lexcorp.jpg?itok=wEBp01go"	"https://pt.wikipedia.org/wiki/LexCorp"	"04"
"6809"	"Wayne Enterprises"	"https://vignette.wikia.nocookie.net/newdcmovieuniverse/images/e/ea/Wayne-enterprises-logo-large.png/"	"https://pt.wikipedia.org/wiki/Wayne_Enterprises"	"04"
"6938"	"Civil Emergency and Defense Agency"	"https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/cb/cbae936c7ac455beed37425b5f4e0344be1d4fbc_full.jpg"	"https://pt.wikipedia.org/wiki/Civil_Emergency_and_Defense_Agency"	"03"
"8465"	"Clarim Diário"	"https://johto.legiaodosherois.com.br/wp-content/uploads/2013/03/bugleol.jpg"	"https://pt.wikipedia.org/wiki/Clarim_Di%C3%A1rio"	"03"
"8573"	"Star Labs"	"https://seeklogo.com/images/S/star-laboratories-logo-16558B3C89-seeklogo.com.png"	"https://en.wikipedia.org/wiki/S.T.A.R._Labs"	"01"
"8803"	"Union Aerospace Corporation"	"https://ih0.redbubble.net/image.195213548.3839/flat,800x800,075,f.jpg"	"https://pt.wikipedia.org/wiki/Union_Aerospace_Corporation"	"01"
"8961"	"Crane, Poole & Schmidt"	"https://mark.trademarkia.com/logo-images/twentieth-century-fox-film-corporation/crane-poole--schmidt-78401029.jpg"	"https://pt.wikipedia.org/wiki/Crane,_Poole_%26_Schmidt"	"02"
"9225"	"Northwind"	"https://northwind.us/wp-content/uploads/2017/10/Northwind-Computers-Converted.png"	"https://en.wikipedia.org/wiki/List_of_fictional_Microsoft_companies"	"03"
"9232"	"Wolfram & Hart"	"https://img00.deviantart.net/6031/i/2017/040/5/d/wolfram_and_hart_logo_by_imajinn_design-dayf9w2.png"	"https://pt.wikipedia.org/wiki/Wolfram_%26_Hart"	"01"
"9559"	"Buy More"	"https://img00.deviantart.net/a1e1/i/2009/121/3/3/buy_more_logo_vector_by_trebory6.png"	"https://pt.wikipedia.org/wiki/Buy_More"	"02"
"9969"	"ACME"	"https://i.pinimg.com/474x/af/f2/16/aff216eb233cd9fdb730f8f3e16159a7.jpg"	"https://pt.wikipedia.org/wiki/ACME"	"01"
