"Código do Produto","Código do Tipo","Código da Apresentação","Código do Sabor","Valor da Caixa"
"LC.C01.0001-7","LC","C01","0001-7",124.19
"LC.C01.0002-6","LC","C01","0002-6",128.25
"LC.C01.0003-5","LC","C01","0003-5",44.19
"LC.C01.0004-4","LC","C01","0004-4",113.98
"LC.C01.0005-3","LC","C01","0005-3",68.33
"LC.C01.0006-2","LC","C01","0006-2",46.10
"LC.C01.0007-1","LC","C01","0007-1",99.17
"LC.C01.0008-0","LC","C01","0008-0",46.95
"LC.C01.0009-8","LC","C01","0009-8",47.63
"LC.C01.0010-7","LC","C01","0010-7",42.65
"LC.C01.0011-6","LC","C01","0011-6",42.04
"LC.C01.0012-5","LC","C01","0012-5",73.99
"LC.C01.0013-4","LC","C01","0013-4",62.70
"LC.C01.0014-3","LC","C01","0014-3",120.10
"LC.C01.0015-2","LC","C01","0015-2",86.80
"LC.C01.0016-1","LC","C01","0016-1",52.10
"LC.C01.0017-0","LC","C01","0017-0",116.77
"LC.C01.0018-8","LC","C01","0018-8",108.56
"LC.C01.0019-7","LC","C01","0019-7",49.13
"LC.C01.0020-6","LC","C01","0020-6",68.70
"LC.C01.0021-5","LC","C01","0021-5",71.03
"LC.C01.0022-4","LC","C01","0022-4",56.63
"LC.C01.0023-3","LC","C01","0023-3",69.05
"LC.C01.0024-2","LC","C01","0024-2",92.44
"LC.C01.0025-1","LC","C01","0025-1",65.76
"LC.C01.0026-0","LC","C01","0026-0",109.43
"LC.C01.0027-8","LC","C01","0027-8",82.30
"LC.C01.0028-7","LC","C01","0028-7",121.17
"LC.C01.0029-6","LC","C01","0029-6",44.59
"LC.C01.0030-5","LC","C01","0030-5",63.73
"LC.C01.0031-4","LC","C01","0031-4",78.22
"LC.C01.0032-3","LC","C01","0032-3",71.82
"LC.C01.0033-2","LC","C01","0033-2",70.06
"LC.C01.0034-1","LC","C01","0034-1",85.93
"LC.C01.0035-0","LC","C01","0035-0",81.92
"LC.C01.0036-8","LC","C01","0036-8",94.14
"LC.C01.0037-7","LC","C01","0037-7",118.87
"LC.C01.0038-6","LC","C01","0038-6",105.26
"LC.C01.0039-5","LC","C01","0039-5",105.13
"LC.C01.0040-4","LC","C01","0040-4",35.72
"LC.C01.0041-3","LC","C01","0041-3",63.37
"LC.C01.0042-2","LC","C01","0042-2",36.79
"LC.C01.0043-1","LC","C01","0043-1",58.66
"LC.C01.0044-0","LC","C01","0044-0",90.69
"LC.C01.0045-8","LC","C01","0045-8",96.72
"LC.C01.0046-7","LC","C01","0046-7",62.52
"LC.C01.0047-6","LC","C01","0047-6",120.93
"LC.C01.0048-5","LC","C01","0048-5",108.76
"LC.C01.0049-4","LC","C01","0049-4",86.56
"LC.C01.0050-3","LC","C01","0050-3",90.94
"LC.C01.0051-2","LC","C01","0051-2",91.26
"LC.C01.0052-1","LC","C01","0052-1",104.72
"LC.C01.0053-0","LC","C01","0053-0",79.66
"LC.C01.0054-8","LC","C01","0054-8",118.73
