"Número da Nota Fiscal","Código do Vendedor","Data da Venda","Código do Cliente","Código IBGE","Código da Forma de Pagamento"
"000001","V1260",01/01/2017,"6809","4213807","4"
"000002","V1210",01/01/2017,"9225","2303105","2"
"000003","V1070",01/01/2017,"8803","4314068","1"
"000004","V1120",01/01/2017,"5956","3547650","3"
"000005","V1030",01/01/2017,"8961","2910727","1"
"000006","V1110",01/01/2017,"4964","2922003","2"
"000007","V1190",01/01/2017,"4040","1600600","1"
"000008","V1070",01/01/2017,"6938","2914802","2"
"000009","V1140",01/01/2017,"8573","3540853","3"
"000010","V1040",01/01/2017,"8803","4304689","2"
"000011","V1280",01/01/2017,"2341","4110953","2"
"000012","V1130",01/01/2017,"6719","4108809","4"
"000013","V1130",01/01/2017,"4642","3162948","2"
"000014","V1270",01/01/2017,"5956","4124301","3"
"000015","V1220",01/01/2017,"5604","2205904","2"
"000016","V1190",01/01/2017,"4040","5217203","3"
"000017","V1050",01/01/2017,"4642","2107258","2"
"000018","V1290",01/01/2017,"9559","3520707","1"
"000019","V1280",01/01/2017,"8465","2202505","3"
"000020","V1240",01/01/2017,"9969","2404705","3"
"000021","V1100",01/01/2017,"2046","4122172","3"
"000022","V1010",01/01/2017,"3081","4323770","3"
"000023","V1100",01/01/2017,"9225","3306206","4"
"000024","V1200",01/01/2017,"3081","1100304","1"
"000025","V1210",01/01/2017,"8803","5000708","4"
"000026","V1090",01/01/2017,"1424","4306924","2"
"000027","V1090",01/01/2017,"4654","1500909","4"
"000028","V1250",01/01/2017,"4980","3117504","2"
"000029","V1070",01/01/2017,"4980","2209104","3"
"000030","V1260",01/01/2017,"5956","2910727","4"
"000031","V1030",01/01/2017,"8803","1500701","3"
"000032","V1220",01/01/2017,"3794","5101308","3"
"000033","V1280",01/01/2017,"1424","3200805","3"
"000034","V1080",01/01/2017,"1424","3132701","3"
"000035","V1200",01/01/2017,"9225","4207502","3"
"000036","V1260",01/01/2017,"1229","2312403","4"
"000037","V1020",01/01/2017,"1682","1703602","1"
"000038","V1230",01/01/2017,"6938","4110102","1"
"000039","V1170",01/01/2017,"3081","2203859","2"
"000040","V1110",01/01/2017,"8465","4205902","1"
"000041","V1130",01/01/2017,"8803","1506807","2"
"000042","V1200",01/01/2017,"6719","4112702","4"
"000043","V1300",01/01/2017,"6938","2310407","4"
"000044","V1240",01/01/2017,"5956","4216909","3"
"000045","V1280",01/01/2017,"6162","3149408","3"
"000046","V1240",01/01/2017,"5956","3302502","2"
"000047","V1060",01/01/2017,"1424","3535804","2"
"000048","V1290",01/01/2017,"2046","4100103","3"
"000049","V1150",01/01/2017,"8465","3550001","4"
"000050","V1250",01/01/2017,"1424","2508802","4"
"000051","V1070",01/01/2017,"3081","2924652","3"
"000052","V1180",01/01/2017,"3081","1721109","4"
"000053","V1010",01/01/2017,"6938","3111101","1"
"000054","V1040",01/01/2017,"2341","3526308","2"
"000055","V1130",01/01/2017,"5323","4207700","4"
"000056","V1140",01/01/2017,"2046","4317103","4"
"000057","V1290",01/01/2017,"5835","3162906","1"
"000058","V1050",01/01/2017,"5604","5000203","3"
"000059","V1190",01/01/2017,"1229","4218251","1"
"000060","V1110",01/01/2017,"5835","2400109","4"
"000061","V1210",01/02/2017,"6938","2916807","3"
"000062","V1120",01/02/2017,"5323","1705557","2"
"000063","V1270",01/02/2017,"4964","4321808","1"
"000064","V1100",01/02/2017,"3589","2413300","3"
"000065","V1100",01/02/2017,"8803","2402105","2"
"000066","V1200",01/02/2017,"3794","2515104","1"
"000067","V1160",01/02/2017,"2046","3514106","1"
"000068","V1210",01/02/2017,"3589","3506706","1"
"000069","V1200",01/02/2017,"9225","2101939","2"
"000070","V1070",01/02/2017,"1682","2504207","3"
"000071","V1030",01/02/2017,"6938","3169307","1"
"000072","V1300",01/02/2017,"6938","1100155","3"
"000073","V1110",01/02/2017,"4642","3530003","4"
"000074","V1040",01/02/2017,"5956","2114007","2"
"000075","V1030",01/02/2017,"9969","1711100","4"
"000076","V1250",01/02/2017,"6938","2929602","1"
"000077","V1250",01/02/2017,"5956","5219506","4"
"000078","V1250",01/02/2017,"1229","4207908","2"
"000079","V1250",01/02/2017,"4642","2803708","3"
"000080","V1110",01/02/2017,"5604","4302253","3"
"000081","V1060",01/02/2017,"4642","5208004","1"
"000082","V1230",01/02/2017,"4642","5106240","3"
"000083","V1300",01/02/2017,"5956","4216354","4"
"000084","V1010",01/02/2017,"8803","3114006","3"
"000085","V1240",01/02/2017,"1424","5102850","3"
"000086","V1110",01/02/2017,"3794","3106200","4"
"000087","V1240",01/02/2017,"4642","2904753","4"
"000088","V1100",01/02/2017,"5835","4209151","4"
"000089","V1030",01/02/2017,"4654","1302702","1"
"000090","V1010",01/02/2017,"4654","3506706","1"
"000091","V1020",01/02/2017,"4654","4107546","2"
"000092","V1040",01/02/2017,"9225","2611705","4"
"000093","V1090",01/02/2017,"9232","5219308","4"
"000094","V1050",01/02/2017,"6809","2201572","1"
"000095","V1100",01/02/2017,"2046","3119104","4"
"000096","V1240",01/02/2017,"4040","3519600","2"
"000097","V1190",01/02/2017,"8961","3513405","2"
"000098","V1260",01/02/2017,"4040","4215505","2"
"000099","V1160",01/02/2017,"3081","2111201","1"
"000100","V1050",01/02/2017,"2341","3508306","1"
"000101","V1080",01/02/2017,"1229","3519600","4"
"000102","V1090",01/02/2017,"9225","3528007","2"
"000103","V1010",01/02/2017,"9225","4114351","2"
"000104","V1040",01/02/2017,"5956","3169208","1"
"000105","V1180",01/02/2017,"6162","3522208","4"
"000106","V1230",01/02/2017,"9225","2406502","4"
"000107","V1100",01/02/2017,"4642","5200159","4"
"000108","V1290",01/02/2017,"2341","3113305","3"
"000109","V1110",01/02/2017,"1682","2500205","1"
"000110","V1110",01/02/2017,"8465","3205002","4"
"000111","V1030",01/02/2017,"5835","2517001","1"
"000112","V1210",01/02/2017,"8573","3149200","1"
"000113","V1260",01/02/2017,"6809","3547908","2"
"000114","V1160",01/03/2017,"1229","2201945","1"
"000115","V1080",01/03/2017,"9225","2908101","3"
"000116","V1140",01/03/2017,"9969","4312906","3"
"000117","V1030",01/03/2017,"5604","3168804","1"
"000118","V1090",01/03/2017,"6719","2103125","3"
"000119","V1200",01/03/2017,"1229","2400406","4"
"000120","V1230",01/03/2017,"1229","3303005","1"
"000121","V1160",01/03/2017,"5956","3102100","1"
"000122","V1220",01/03/2017,"2046","4315800","4"
"000123","V1100",01/03/2017,"2046","2411429","1"
"000124","V1260",01/03/2017,"4040","3148509","3"
"000125","V1020",01/03/2017,"8803","4312351","3"
"000126","V1200",01/03/2017,"4654","4122602","4"
"000127","V1110",01/03/2017,"4040","3171154","1"
"000128","V1180",01/03/2017,"6162","4101200","4"
"000129","V1130",01/03/2017,"5835","2108405","3"
"000130","V1220",01/03/2017,"6938","3547601","2"
"000131","V1190",01/03/2017,"6809","4315172","2"
"000132","V1300",01/03/2017,"1424","5216403","4"
"000133","V1060",01/03/2017,"5956","3539707","4"
"000134","V1080",01/03/2017,"2341","1717008","2"
"000135","V1240",01/03/2017,"5835","5200829","3"
"000136","V1300",01/03/2017,"1229","3108602","1"
"000137","V1250",01/03/2017,"2046","2803302","2"
"000138","V1080",01/03/2017,"2341","4116950","3"
"000139","V1230",01/03/2017,"9559","5219753","4"
"000140","V1070",01/03/2017,"3589","4308904","2"
"000141","V1300",01/03/2017,"6809","2513927","2"
"000142","V1060",01/03/2017,"2046","3155801","1"
"000143","V1230",01/03/2017,"5604","2310803","4"
"000144","V1140",01/03/2017,"5956","2301307","4"
"000145","V1060",01/03/2017,"1682","2914000","1"
"000146","V1270",01/03/2017,"6938","3134806","2"
"000147","V1230",01/03/2017,"8961","3536257","1"
"000148","V1270",01/03/2017,"6809","2106201","2"
"000149","V1130",01/03/2017,"9559","2608602","4"
"000150","V1230",01/03/2017,"8465","1710904","1"
"000151","V1200",01/03/2017,"5956","2703759","2"
"000152","V1110",01/03/2017,"8803","2515708","2"
"000153","V1150",01/03/2017,"6162","3111101","4"
"000154","V1080",01/03/2017,"2046","2408607","1"
"000155","V1130",01/03/2017,"4642","2903508","3"
"000156","V1090",01/03/2017,"5323","2616506","2"
"000157","V1090",01/03/2017,"5323","2101350","2"
"000158","V1220",01/03/2017,"3081","2403905","1"
"000159","V1080",01/03/2017,"4040","4113205","3"
"000160","V1230",01/03/2017,"3794","3512209","4"
"000161","V1110",01/03/2017,"4980","2201556","4"
"000162","V1130",01/03/2017,"4964","2302404","3"
"000163","V1260",01/03/2017,"3589","3519501","1"
"000164","V1160",01/03/2017,"3081","3546801","4"
"000165","V1210",01/03/2017,"9559","4300646","3"
"000166","V1120",01/03/2017,"6809","2206100","1"
"000167","V1080",01/03/2017,"3794","3117603","1"
"000168","V1230",01/03/2017,"3081","3136520","2"
"000169","V1090",01/03/2017,"6162","3162104","3"
"000170","V1190",01/03/2017,"9225","2303303","3"
"000171","V1140",01/03/2017,"6719","4109500","3"
"000172","V1080",01/03/2017,"1424","3111903","4"
"000173","V1250",01/04/2017,"6719","1702901","1"
"000174","V1190",01/04/2017,"4980","3537909","1"
"000175","V1170",01/04/2017,"9559","5106000","4"
"000176","V1120",01/04/2017,"4964","1304260","1"
"000177","V1120",01/04/2017,"5604","2209971","1"
"000178","V1090",01/04/2017,"2341","1507805","3"
"000179","V1210",01/04/2017,"8573","2925501","1"
"000180","V1280",01/04/2017,"4980","3137007","1"
"000181","V1300",01/04/2017,"3794","5300108","1"
"000182","V1130",01/04/2017,"6809","2301406","2"
"000183","V1190",01/04/2017,"2046","5101704","1"
"000184","V1200",01/04/2017,"5323","2300804","2"
"000185","V1250",01/04/2017,"1682","3515350","2"
"000186","V1150",01/04/2017,"5835","3515301","3"
"000187","V1270",01/04/2017,"1424","3163706","3"
"000188","V1170",01/04/2017,"8803","2600500","1"
"000189","V1040",01/04/2017,"9969","4315354","2"
"000190","V1150",01/04/2017,"9969","4312179","4"
"000191","V1150",01/04/2017,"5956","3132909","1"
"000192","V1080",01/04/2017,"2046","2608206","3"
"000193","V1270",01/04/2017,"4040","1501253","3"
"000194","V1010",01/04/2017,"9225","2706901","3"
"000195","V1280",01/04/2017,"1424","4207403","3"
"000196","V1210",01/04/2017,"3081","3113602","1"
"000197","V1300",01/04/2017,"3081","5206909","2"
"000198","V1180",01/04/2017,"5835","4115408","3"
"000199","V1280",01/04/2017,"3081","2303600","1"
"000200","V1170",01/04/2017,"5956","2111102","1"
"000201","V1050",01/04/2017,"9225","2605301","4"
"000202","V1150",01/04/2017,"3589","5106224","2"
"000203","V1010",01/04/2017,"6938","2211308","3"
"000204","V1030",01/04/2017,"8573","3521705","4"
"000205","V1170",01/04/2017,"6719","5211008","2"
"000206","V1260",01/04/2017,"4040","3145059","4"
"000207","V1180",01/04/2017,"4040","2110039","2"
"000208","V1090",01/04/2017,"5956","2309409","4"
"000209","V1280",01/04/2017,"4040","2200459","4"
"000210","V1080",01/04/2017,"3589","3300936","4"
"000211","V1300",01/04/2017,"9225","2306256","3"
"000212","V1040",01/04/2017,"8803","2606903","3"
"000213","V1180",01/04/2017,"4964","3133204","1"
"000214","V1100",01/04/2017,"3081","2310852","4"
"000215","V1040",01/04/2017,"2046","2112308","1"
"000216","V1080",01/04/2017,"1229","3149903","2"
"000217","V1040",01/04/2017,"8961","2603801","2"
"000218","V1190",01/04/2017,"4980","1507953","2"
"000219","V1300",01/04/2017,"6809","3540002","4"
"000220","V1120",01/04/2017,"4040","5002803","2"
"000221","V1230",01/04/2017,"4654","3133758","1"
"000222","V1130",01/04/2017,"6719","4314779","3"
"000223","V1110",01/04/2017,"1424","3149705","2"
"000224","V1270",01/04/2017,"9232","2707008","1"
"000225","V1070",01/04/2017,"1424","4127007","3"
"000226","V1090",01/04/2017,"4980","4127908","2"
"000227","V1300",01/04/2017,"6719","3171808","2"
"000228","V1150",01/04/2017,"9559","2804607","2"
"000229","V1100",01/04/2017,"2341","4128500","1"
"000230","V1180",01/04/2017,"6938","2708501","4"
"000231","V1300",01/04/2017,"4040","4210704","1"
"000232","V1100",01/04/2017,"5604","2926657","3"
"000233","V1180",01/04/2017,"5323","2301109","4"
"000234","V1030",01/04/2017,"6162","4309308","2"
"000235","V1290",01/04/2017,"4654","3118809","4"
"000236","V1180",01/04/2017,"5604","3301504","2"
"000237","V1070",01/04/2017,"3794","2918803","3"
"000238","V1130",01/04/2017,"8961","1508001","4"
"000239","V1150",01/04/2017,"6938","3509452","1"
"000240","V1220",01/04/2017,"5956","3154200","3"
"000241","V1260",01/05/2017,"5835","3300159","1"
"000242","V1150",01/05/2017,"8573","4203808","2"
"000243","V1080",01/05/2017,"4654","3148707","2"
"000244","V1020",01/05/2017,"1682","2806602","2"
"000245","V1300",01/05/2017,"6162","1703206","2"
"000246","V1070",01/05/2017,"5835","2312106","1"
"000247","V1010",01/05/2017,"5604","5207600","4"
"000248","V1060",01/05/2017,"1229","2928703","3"
"000249","V1050",01/05/2017,"1424","2905404","1"
"000250","V1220",01/05/2017,"4980","2704906","1"
"000251","V1050",01/05/2017,"4040","3536802","1"
"000252","V1140",01/05/2017,"1229","3526100","2"
"000253","V1010",01/05/2017,"8803","1707009","1"
"000254","V1130",01/05/2017,"8961","4118501","3"
"000255","V1210",01/05/2017,"9232","5215231","1"
"000256","V1080",01/05/2017,"9559","3140001","4"
"000257","V1140",01/05/2017,"9225","3527603","2"
"000258","V1100",01/05/2017,"2046","4203600","2"
"000259","V1280",01/05/2017,"1424","2900207","3"
"000260","V1060",01/05/2017,"1682","3128204","1"
"000261","V1220",01/05/2017,"5604","3539905","2"
"000262","V1120",01/05/2017,"6809","3154200","3"
"000263","V1060",01/05/2017,"8961","5004106","3"
"000264","V1040",01/05/2017,"9969","3115003","3"
"000265","V1060",01/05/2017,"6162","2512101","3"
"000266","V1070",01/05/2017,"6938","4204194","4"
"000267","V1110",01/05/2017,"1229","4304853","4"
"000268","V1070",01/05/2017,"2341","5103858","1"
"000269","V1060",01/05/2017,"8961","3527108","4"
"000270","V1050",01/05/2017,"2341","3540705","3"
"000271","V1030",01/05/2017,"1682","4122206","2"
"000272","V1140",01/05/2017,"9559","5218003","3"
"000273","V1190",01/05/2017,"2046","2301406","4"
"000274","V1300",01/05/2017,"1229","5221080","1"
"000275","V1200",01/05/2017,"6938","3109907","2"
"000276","V1020",01/05/2017,"4642","2202083","4"
"000277","V1010",01/05/2017,"6719","2504504","3"
"000278","V1130",01/05/2017,"9969","3529609","3"
"000279","V1180",01/05/2017,"8961","4305439","4"
"000280","V1150",01/05/2017,"9232","1507706","1"
"000281","V1080",01/05/2017,"4980","2911907","4"
"000282","V1060",01/05/2017,"2341","3168309","4"
"000283","V1140",01/05/2017,"4964","4306205","3"
